date,product_id,daily_units,rolling_7d_units
2016-01-01,101.0,86.0,86.0
2016-01-02,101.0,103.0,94.5
2016-01-03,101.0,73.0,87.33333333333333
2016-01-04,101.0,92.0,88.5
2016-01-05,101.0,96.0,90.0
2016-01-06,101.0,81.0,88.5
2016-01-08,101.0,92.0,89.0
2016-01-09,101.0,72.0,87.0
2016-01-10,101.0,86.0,84.57142857142857
2016-01-11,101.0,89.0,86.85714285714286
2016-01-12,101.0,91.0,86.71428571428571
2016-01-13,101.0,75.0,83.71428571428571
2016-01-14,101.0,99.0,86.28571428571429
2016-01-15,101.0,96.0,86.85714285714286
2016-01-16,101.0,90.0,89.42857142857143
2016-01-17,101.0,99.0,91.28571428571429
2016-01-18,101.0,98.0,92.57142857142857
2016-01-19,101.0,78.0,90.71428571428571
2016-01-20,101.0,100.0,94.28571428571429
2016-01-21,101.0,100.0,94.42857142857143
2016-01-22,101.0,110.0,96.42857142857143
2016-01-23,101.0,98.0,97.57142857142857
2016-01-24,101.0,95.0,97.0
2016-01-25,101.0,80.0,94.42857142857143
2016-01-26,101.0,82.0,95.0
2016-01-27,101.0,93.0,94.0
2016-01-28,101.0,97.0,93.57142857142857
2016-01-29,101.0,98.0,91.85714285714286
2016-01-30,101.0,94.0,91.28571428571429
2016-01-31,101.0,89.0,90.42857142857143
2016-02-01,101.0,76.0,89.85714285714286
2016-02-02,101.0,108.0,93.57142857142857
2016-02-03,101.0,87.0,92.71428571428571
2016-02-04,101.0,91.0,91.85714285714286
2016-02-05,101.0,88.0,90.42857142857143
2016-02-06,101.0,76.0,87.85714285714286
2016-02-07,101.0,88.0,87.71428571428571
2016-02-08,101.0,101.0,91.28571428571429
2016-02-09,101.0,94.0,89.28571428571429
2016-02-10,101.0,95.0,90.42857142857143
2016-02-11,101.0,99.0,91.57142857142857
2016-02-12,101.0,100.0,93.28571428571429
2016-02-13,101.0,77.0,93.42857142857143
2016-02-14,101.0,79.0,92.14285714285714
2016-02-15,101.0,97.0,91.57142857142857
2016-02-16,101.0,87.0,90.57142857142857
2016-02-17,101.0,85.0,89.14285714285714
2016-02-18,101.0,88.0,87.57142857142857
2016-02-19,101.0,95.0,86.85714285714286
2016-02-20,101.0,90.0,88.71428571428571
2016-02-21,101.0,99.0,91.57142857142857
2016-02-22,101.0,111.0,93.57142857142857
2016-02-23,101.0,75.0,91.85714285714286
2016-02-24,101.0,79.0,91.0
2016-02-25,101.0,97.0,92.28571428571429
2016-02-26,101.0,91.0,91.71428571428571
2016-02-27,101.0,94.0,92.28571428571429
2016-02-28,101.0,104.0,93.0
2016-02-29,101.0,80.0,88.57142857142857
2016-03-01,101.0,84.0,89.85714285714286
2016-03-02,101.0,89.0,91.28571428571429
2016-03-03,101.0,80.0,88.85714285714286
2016-03-04,101.0,100.0,90.14285714285714
2016-03-05,101.0,84.0,88.71428571428571
2016-03-06,101.0,79.0,85.14285714285714
2016-03-07,101.0,90.0,86.57142857142857
2016-03-08,101.0,90.0,87.42857142857143
2016-03-09,101.0,98.0,88.71428571428571
2016-03-10,101.0,82.0,89.0
2016-03-11,101.0,99.0,88.85714285714286
2016-03-12,101.0,86.0,89.14285714285714
2016-03-13,101.0,93.0,91.14285714285714
2016-03-14,101.0,80.0,89.71428571428571
2016-03-15,101.0,96.0,90.57142857142857
2016-03-16,101.0,101.0,91.0
2016-03-17,101.0,92.0,92.42857142857143
2016-03-18,101.0,95.0,91.85714285714286
2016-03-19,101.0,90.0,92.42857142857143
2016-03-20,101.0,84.0,91.14285714285714
2016-03-21,101.0,100.0,94.0
2016-03-22,101.0,89.0,93.0
2016-03-23,101.0,91.0,91.57142857142857
2016-03-24,101.0,102.0,93.0
2016-03-25,101.0,77.0,90.42857142857143
2016-03-26,101.0,95.0,91.14285714285714
2016-03-27,101.0,97.0,93.0
2016-03-28,101.0,86.0,91.0
2016-03-29,101.0,81.0,89.85714285714286
2016-03-30,101.0,84.0,88.85714285714286
2016-03-31,101.0,100.0,88.57142857142857
2016-04-01,101.0,91.0,90.57142857142857
2016-04-02,101.0,82.0,88.71428571428571
2016-04-03,101.0,78.0,86.0
2016-04-04,101.0,84.0,85.71428571428571
2016-04-05,101.0,75.0,84.85714285714286
2016-04-06,101.0,109.0,88.42857142857143
2016-04-07,101.0,85.0,86.28571428571429
2016-04-08,101.0,89.0,86.0
2016-04-09,101.0,96.0,88.0
2016-04-10,101.0,85.0,89.0
2016-04-11,101.0,92.0,90.14285714285714
2016-04-12,101.0,78.0,90.57142857142857
2016-04-13,101.0,86.0,87.28571428571429
2016-04-14,101.0,108.0,90.57142857142857
2016-04-15,101.0,93.0,91.14285714285714
2016-04-16,101.0,93.0,90.71428571428571
2016-04-17,101.0,67.0,88.14285714285714
2016-04-18,101.0,87.0,87.42857142857143
2016-04-19,101.0,87.0,88.71428571428571
2016-04-20,101.0,70.0,86.42857142857143
2016-04-21,101.0,71.0,81.14285714285714
2016-04-22,101.0,69.0,77.71428571428571
2016-04-23,101.0,88.0,77.0
2016-04-24,101.0,105.0,82.42857142857143
2016-04-25,101.0,87.0,82.42857142857143
2016-04-26,101.0,94.0,83.42857142857143
2016-04-27,101.0,78.0,84.57142857142857
2016-04-28,101.0,89.0,87.14285714285714
2016-04-29,101.0,89.0,90.0
2016-04-30,101.0,91.0,90.42857142857143
2016-05-01,101.0,86.0,87.71428571428571
2016-05-02,101.0,94.0,88.71428571428571
2016-05-03,101.0,79.0,86.57142857142857
2016-05-04,101.0,75.0,86.14285714285714
2016-05-05,101.0,89.0,86.14285714285714
2016-05-06,101.0,98.0,87.42857142857143
2016-05-07,101.0,91.0,87.42857142857143
2016-05-08,101.0,93.0,88.42857142857143
2016-05-09,101.0,83.0,86.85714285714286
2016-05-10,101.0,105.0,90.57142857142857
2016-05-11,101.0,83.0,91.71428571428571
2016-05-12,101.0,101.0,93.42857142857143
2016-05-13,101.0,92.0,92.57142857142857
2016-05-14,101.0,92.0,92.71428571428571
2016-05-15,101.0,83.0,91.28571428571429
2016-05-16,101.0,80.0,90.85714285714286
2016-05-17,101.0,101.0,90.28571428571429
2016-05-18,101.0,98.0,92.42857142857143
2016-05-19,101.0,70.0,88.0
2016-05-20,101.0,92.0,88.0
2016-05-21,101.0,82.0,86.57142857142857
2016-05-22,101.0,87.0,87.14285714285714
2016-05-23,101.0,89.0,88.42857142857143
2016-05-24,101.0,93.0,87.28571428571429
2016-05-25,101.0,102.0,87.85714285714286
2016-05-26,101.0,109.0,93.42857142857143
2016-05-27,101.0,108.0,95.71428571428571
2016-05-28,101.0,97.0,97.85714285714286
2016-05-29,101.0,88.0,98.0
2016-05-30,101.0,94.0,98.71428571428571
2016-05-31,101.0,80.0,96.85714285714286
2016-06-01,101.0,96.0,96.0
2016-06-02,101.0,86.0,92.71428571428571
2016-06-03,101.0,89.0,90.0
2016-06-04,101.0,79.0,87.42857142857143
2016-06-05,101.0,106.0,90.0
2016-06-06,101.0,92.0,89.71428571428571
2016-06-07,101.0,90.0,91.14285714285714
2016-06-08,101.0,92.0,90.57142857142857
2016-06-09,101.0,78.0,89.42857142857143
2016-06-10,101.0,117.0,93.42857142857143
2016-06-11,101.0,74.0,92.71428571428571
2016-06-12,101.0,88.0,90.14285714285714
2016-06-13,101.0,92.0,90.14285714285714
2016-06-14,101.0,77.0,88.28571428571429
2016-06-15,101.0,104.0,90.0
2016-06-16,101.0,84.0,90.85714285714286
2016-06-17,101.0,98.0,88.14285714285714
2016-06-18,101.0,70.0,87.57142857142857
2016-06-19,101.0,87.0,87.42857142857143
2016-06-20,101.0,109.0,89.85714285714286
2016-06-21,101.0,106.0,94.0
2016-06-22,101.0,84.0,91.14285714285714
2016-06-23,101.0,91.0,92.14285714285714
2016-06-24,101.0,83.0,90.0
2016-06-25,101.0,86.0,92.28571428571429
2016-06-26,101.0,89.0,92.57142857142857
2016-06-27,101.0,76.0,87.85714285714286
2016-06-28,101.0,97.0,86.57142857142857
2016-06-29,101.0,87.0,87.0
2016-06-30,101.0,78.0,85.14285714285714
2016-07-01,101.0,78.0,84.42857142857143
2016-07-02,101.0,81.0,83.71428571428571
2016-07-03,101.0,99.0,85.14285714285714
2016-07-04,101.0,92.0,87.42857142857143
2016-07-05,101.0,89.0,86.28571428571429
2016-07-06,101.0,81.0,85.42857142857143
2016-07-07,101.0,87.0,86.71428571428571
2016-07-08,101.0,77.0,86.57142857142857
2016-07-09,101.0,88.0,87.57142857142857
2016-07-10,101.0,100.0,87.71428571428571
2016-07-11,101.0,91.0,87.57142857142857
2016-07-12,101.0,94.0,88.28571428571429
2016-07-13,101.0,84.0,88.71428571428571
2016-07-14,101.0,94.0,89.71428571428571
2016-07-15,101.0,81.0,90.28571428571429
2016-07-16,101.0,103.0,92.42857142857143
2016-07-17,101.0,86.0,90.42857142857143
2016-07-18,101.0,96.0,91.14285714285714
2016-07-19,101.0,74.0,88.28571428571429
2016-07-20,101.0,82.0,88.0
2016-07-21,101.0,94.0,88.0
2016-07-22,101.0,85.0,88.57142857142857
2016-07-23,101.0,92.0,87.0
2016-07-24,101.0,88.0,87.28571428571429
2016-07-25,101.0,92.0,86.71428571428571
2016-07-26,101.0,100.0,90.42857142857143
2016-07-27,101.0,92.0,91.85714285714286
2016-07-28,101.0,83.0,90.28571428571429
2016-07-29,101.0,87.0,90.57142857142857
